YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,5,0
1912,0,0
1913,7,0
1914,12,0
1915,13,0
1916,15,0
1917,10,0
1918,8,0
1919,10,0
1920,11,0
1921,8,0
1922,13,0
1923,12,1
1924,12,1
1925,10,1
1926,13,1
1927,11,1
1928,14,2
1929,10,1
1930,8,1
1931,8,2
1932,7,2
1933,0,0
1934,0,0
1935,8,3
1936,5,2
1937,6,2
1938,0,0
1939,9,4
1940,11,5
1941,0,0
1942,6,3
1943,0,0
1944,7,4
1945,6,4
1946,6,4
1947,0,0
1948,8,5
1949,9,6
1950,10,7
1951,8,6
1952,9,7
1953,5,4
1954,6,5
1955,10,8
1956,7,6
1957,7,6
1958,0,0
1959,6,5
1960,0,0
1961,0,0
1962,5,4
1963,7,6
1964,8,7
1965,7,6
1966,8,7
1967,6,5
1968,9,8
1969,0,0
1970,0,0
1971,8,7
1972,7,6
1973,9,8
1974,5,5
1975,6,6
1976,9,8
1977,10,9
1978,7,7
1979,11,10
1980,5,5
1981,8,8
1982,15,14
1983,8,8
1984,12,12
1985,12,12
1986,15,14
1987,6,6
1988,13,13
1989,13,13
1990,19,18
1991,18,18
1992,12,12
1993,16,16
1994,12,12
1995,8,8
1996,7,7
1997,6,6
1998,11,11
1999,17,17
2000,16,16
2001,9,9
2002,12,12
2003,5,5
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,7,7
2015,0,0
2016,0,0
2017,0,0
