YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,9,0
1914,6,0
1915,5,0
1916,9,0
1917,0,0
1918,0,0
1919,7,0
1920,12,0
1921,7,0
1922,0,0
1923,5,0
1924,7,1
1925,6,1
1926,8,1
1927,0,0
1928,7,1
1929,5,1
1930,0,0
1931,6,2
1932,8,2
1933,6,2
1934,5,2
1935,5,2
1936,8,3
1937,0,0
1938,0,0
1939,5,3
1940,0,0
1941,5,3
1942,0,0
1943,0,0
1944,0,0
1945,7,5
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,5,4
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,5,5
