YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,5,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,5,2
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,7,4
1943,0,0
1944,7,4
1945,0,0
1946,5,3
1947,11,7
1948,7,5
1949,11,8
1950,0,0
1951,5,4
1952,17,13
1953,8,6
1954,15,12
1955,19,15
1956,19,15
1957,22,18
1958,22,18
1959,15,12
1960,17,14
1961,15,13
1962,19,16
1963,26,22
1964,19,17
1965,17,15
1966,21,19
1967,23,20
1968,31,28
1969,42,38
1970,37,34
1971,34,31
1972,43,40
1973,59,54
1974,46,43
1975,58,54
1976,48,45
1977,41,39
1978,24,23
1979,28,27
1980,24,23
1981,15,14
1982,16,15
1983,25,24
1984,10,10
1985,24,23
1986,27,26
1987,27,26
1988,26,25
1989,16,16
1990,14,14
1991,18,18
1992,12,12
1993,12,12
1994,16,16
1995,32,31
1996,25,25
1997,12,12
1998,24,24
1999,11,11
2000,18,18
2001,11,11
2002,16,16
2003,6,6
2004,10,10
2005,6,6
2006,6,6
2007,0,0
2008,5,5
2009,8,8
2010,0,0
2011,0,0
2012,6,6
2013,5,5
2014,8,8
2015,0,0
2016,0,0
2017,6,6
