YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,5,4
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,6,6
1968,5,5
1969,8,8
1970,19,18
1971,12,11
1972,21,20
1973,7,7
1974,16,15
1975,5,5
1976,12,12
1977,11,11
1978,12,12
1979,9,9
1980,12,12
1981,14,14
1982,11,11
1983,9,9
1984,13,13
1985,9,9
1986,20,20
1987,23,23
1988,20,20
1989,16,16
1990,18,18
1991,13,13
1992,17,17
1993,18,18
1994,22,22
1995,13,13
1996,23,23
1997,19,19
1998,19,19
1999,14,14
2000,14,14
2001,20,20
2002,15,15
2003,17,17
2004,0,0
2005,18,18
2006,15,15
2007,15,15
2008,16,16
2009,19,19
2010,26,26
2011,29,29
2012,30,30
2013,21,21
