YOB,Born,Alive
1900,0,0
1901,5,0
1902,5,0
1903,12,0
1904,7,0
1905,11,0
1906,10,0
1907,9,0
1908,13,0
1909,10,0
1910,18,0
1911,40,0
1912,25,0
1913,41,1
1914,62,2
1915,68,2
1916,78,3
1917,94,5
1918,92,5
1919,77,5
1920,72,5
1921,93,10
1922,83,11
1923,84,14
1924,92,18
1925,68,15
1926,55,14
1927,80,23
1928,57,18
1929,57,20
1930,47,18
1931,42,17
1932,30,13
1933,28,13
1934,33,16
1935,31,16
1936,41,23
1937,28,16
1938,30,18
1939,33,21
1940,30,20
1941,31,21
1942,24,17
1943,19,14
1944,17,13
1945,15,11
1946,14,11
1947,9,7
1948,12,10
1949,11,9
1950,11,9
1951,0,0
1952,8,7
1953,10,9
1954,8,7
1955,8,7
1956,5,4
1957,0,0
1958,6,5
1959,10,9
1960,7,6
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,8,8
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,11,11
1992,6,6
1993,0,0
1994,0,0
1995,0,0
1996,5,5
1997,6,6
1998,5,5
1999,10,10
2000,0,0
2001,7,7
2002,0,0
2003,10,10
2004,0,0
2005,7,7
2006,11,11
2007,0,0
2008,9,9
2009,5,5
2010,11,11
2011,6,6
2012,10,10
2013,18,18
