YOB,Born,Alive
1900,0,0
1901,6,0
1902,0,0
1903,0,0
1904,8,0
1905,0,0
1906,0,0
1907,5,0
1908,0,0
1909,7,0
1910,0,0
1911,0,0
1912,12,0
1913,8,0
1914,13,0
1915,16,0
1916,14,0
1917,20,0
1918,16,0
1919,25,0
1920,28,0
1921,21,0
1922,23,0
1923,19,1
1924,22,1
1925,23,1
1926,21,1
1927,14,1
1928,31,2
1929,14,1
1930,17,2
1931,23,3
1932,15,2
1933,14,3
1934,13,3
1935,12,3
1936,11,3
1937,17,5
1938,8,3
1939,13,5
1940,12,5
1941,13,6
1942,14,6
1943,9,4
1944,9,5
1945,9,5
1946,9,5
1947,13,8
1948,9,6
1949,10,6
1950,7,5
1951,13,9
1952,14,10
1953,0,0
1954,5,4
1955,8,6
1956,12,9
1957,10,8
1958,6,5
1959,9,7
1960,7,6
1961,5,4
1962,8,7
1963,0,0
1964,5,4
1965,7,6
1966,6,5
1967,8,7
1968,6,5
1969,6,5
1970,9,8
1971,15,14
1972,5,5
1973,10,9
1974,7,6
1975,0,0
1976,7,6
1977,12,11
1978,10,9
1979,7,7
1980,9,9
1981,10,9
1982,17,16
1983,14,13
1984,11,11
1985,10,10
1986,10,10
1987,9,9
1988,11,11
1989,8,8
1990,6,6
1991,9,9
1992,11,11
1993,0,0
1994,8,8
1995,9,9
1996,0,0
1997,6,6
1998,0,0
1999,7,7
2000,0,0
2001,6,6
2002,9,9
2003,9,9
2004,7,7
2005,0,0
2006,5,5
2007,5,5
2008,6,6
2009,10,10
2010,9,9
2011,6,6
2012,5,5
2013,5,5
2014,0,0
2015,0,0
2016,7,7
2017,0,0
2018,0,0
2019,5,5
2020,0,0
