YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,7,6
1954,6,5
1955,5,4
1956,6,5
1957,15,13
1958,7,6
1959,9,8
1960,11,10
1961,20,18
1962,29,26
1963,27,25
1964,18,17
1965,33,31
1966,22,20
1967,28,26
1968,34,32
1969,53,50
1970,133,126
1971,149,141
1972,116,110
1973,115,110
1974,130,124
1975,98,94
1976,84,81
1977,65,63
1978,107,103
1979,89,86
1980,134,130
1981,116,113
1982,99,96
1983,93,91
1984,97,95
1985,92,90
1986,92,90
1987,114,112
1988,106,104
1989,124,122
1990,129,127
1991,117,115
1992,128,126
1993,127,125
1994,157,155
1995,160,158
1996,158,156
1997,157,155
1998,148,146
1999,167,165
2000,156,155
2001,125,124
2002,140,139
2003,131,130
2004,141,140
2005,123,122
2006,121,120
2007,127,126
2008,148,147
2009,109,108
2010,111,110
2011,102,101
2012,84,84
2013,115,115
2014,143,143
2015,172,172
2016,170,170
2017,179,179
