YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,6,0
1921,5,0
1922,6,0
1923,0,0
1924,5,0
1925,5,0
1926,7,0
1927,6,0
1928,5,0
1929,8,1
1930,12,1
1931,8,1
1932,7,1
1933,5,1
1934,6,1
1935,8,2
1936,7,2
1937,7,2
1938,0,0
1939,5,2
1940,8,3
1941,6,3
1942,13,6
1943,9,4
1944,0,0
1945,0,0
1946,0,0
1947,7,4
1948,7,4
1949,7,4
1950,6,4
1951,10,7
1952,9,6
1953,11,8
1954,6,4
1955,8,6
1956,15,11
1957,5,4
1958,9,7
1959,11,9
1960,5,4
1961,10,8
1962,9,8
1963,15,13
1964,11,9
1965,11,9
1966,9,8
1967,11,10
1968,9,8
1969,14,12
1970,18,16
1971,17,15
1972,15,14
1973,12,11
1974,7,6
1975,12,11
1976,15,14
1977,20,19
1978,19,18
1979,8,8
1980,18,17
1981,21,20
1982,23,22
1983,22,21
1984,9,9
1985,13,12
1986,21,20
1987,15,14
1988,15,14
1989,12,12
1990,13,13
1991,9,9
1992,6,6
1993,11,11
1994,0,0
1995,5,5
1996,6,6
1997,5,5
1998,7,7
1999,6,6
2000,0,0
2001,0,0
2002,5,5
2003,0,0
2004,0,0
2005,6,6
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
