YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,6,6
1971,6,6
1972,5,5
1973,0,0
1974,6,6
1975,6,6
1976,5,5
1977,0,0
1978,5,5
1979,8,8
1980,12,12
1981,16,16
1982,15,15
1983,10,10
1984,0,0
1985,11,11
1986,12,12
1987,7,7
1988,6,6
1989,18,18
1990,7,7
1991,6,6
1992,11,11
1993,7,7
1994,0,0
1995,11,11
1996,8,8
1997,10,10
1998,6,6
1999,0,0
2000,7,7
2001,6,6
2002,0,0
2003,0,0
2004,5,5
2005,0,0
2006,8,8
2007,5,5
2008,0,0
2009,5,5
2010,7,7
2011,6,6
2012,0,0
2013,0,0
2014,6,6
2015,0,0
2016,5,5
2017,0,0
2018,0,0
2019,6,6
2020,0,0
