YOB,Born,Alive
1900,18,0
1901,10,0
1902,15,0
1903,20,0
1904,18,0
1905,13,0
1906,14,0
1907,10,0
1908,12,0
1909,14,0
1910,17,0
1911,11,0
1912,19,0
1913,30,0
1914,14,0
1915,33,0
1916,33,0
1917,37,0
1918,40,0
1919,44,0
1920,35,0
1921,26,1
1922,35,2
1923,41,3
1924,18,1
1925,23,2
1926,25,3
1927,27,4
1928,27,4
1929,17,3
1930,28,5
1931,28,6
1932,21,5
1933,9,3
1934,12,4
1935,14,5
1936,9,4
1937,17,7
1938,14,7
1939,23,12
1940,11,6
1941,20,11
1942,19,11
1943,21,13
1944,18,11
1945,15,10
1946,24,16
1947,24,17
1948,26,19
1949,31,23
1950,29,22
1951,20,16
1952,26,21
1953,21,17
1954,26,21
1955,21,17
1956,16,13
1957,15,13
1958,23,20
1959,16,14
1960,18,16
1961,26,23
1962,20,18
1963,14,13
1964,28,25
1965,22,20
1966,24,22
1967,23,21
1968,23,21
1969,29,27
1970,26,24
1971,39,37
1972,27,26
1973,32,30
1974,28,27
1975,50,48
1976,27,26
1977,36,35
1978,39,38
1979,26,25
1980,36,35
1981,37,36
1982,32,31
1983,41,40
1984,40,39
1985,29,28
1986,30,29
1987,33,32
1988,32,31
1989,26,25
1990,30,29
1991,22,22
1992,24,24
1993,18,18
1994,22,22
1995,17,17
1996,11,11
1997,13,13
1998,14,14
1999,8,8
2000,7,7
2001,8,8
2002,12,12
2003,7,7
2004,14,14
2005,11,11
2006,7,7
2007,5,5
2008,10,10
2009,0,0
2010,6,6
2011,5,5
2012,5,5
2013,0,0
2014,6,6
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
