YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,9,8
1957,10,9
1958,7,6
1959,6,5
1960,5,5
1961,8,7
1962,7,6
1963,14,13
1964,11,10
1965,9,8
1966,13,12
1967,6,6
1968,13,12
1969,12,11
1970,8,8
1971,6,6
1972,7,7
1973,11,10
1974,11,11
1975,0,0
1976,6,6
1977,5,5
1978,13,13
1979,7,7
1980,0,0
1981,6,6
1982,6,6
1983,8,8
1984,5,5
1985,0,0
1986,6,6
1987,0,0
1988,12,12
1989,11,11
1990,8,8
1991,12,12
1992,6,6
1993,0,0
1994,6,6
1995,0,0
1996,6,6
1997,0,0
1998,0,0
1999,5,5
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
