YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,6,0
1918,7,0
1919,0,0
1920,0,0
1921,7,1
1922,6,1
1923,9,1
1924,0,0
1925,14,3
1926,0,0
1927,5,1
1928,7,2
1929,6,2
1930,9,3
1931,6,2
1932,8,4
1933,9,4
1934,10,5
1935,8,4
1936,17,9
1937,30,18
1938,37,23
1939,24,15
1940,30,20
1941,22,15
1942,29,21
1943,24,17
1944,22,16
1945,32,24
1946,27,21
1947,40,32
1948,36,29
1949,34,28
1950,30,25
1951,31,26
1952,36,31
1953,23,20
1954,19,17
1955,10,9
1956,19,17
1957,31,28
1958,30,27
1959,37,34
1960,48,44
1961,43,40
1962,35,32
1963,31,29
1964,34,32
1965,47,44
1966,34,32
1967,43,41
1968,33,31
1969,43,41
1970,36,34
1971,35,33
1972,20,19
1973,21,20
1974,51,49
1975,30,29
1976,36,35
1977,46,45
1978,35,34
1979,40,39
1980,46,45
1981,34,33
1982,25,24
1983,21,21
1984,29,28
1985,31,30
1986,29,28
1987,25,25
1988,24,24
1989,28,28
1990,25,25
1991,24,24
1992,26,26
1993,17,17
1994,20,20
1995,12,12
1996,16,16
1997,17,17
1998,16,16
1999,11,11
2000,10,10
2001,16,16
2002,13,13
2003,19,19
2004,9,9
2005,9,9
2006,13,13
2007,11,11
2008,10,10
2009,10,10
2010,11,11
2011,13,13
2012,5,5
2013,6,6
