YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,5,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,5,1
1936,0,0
1937,0,0
1938,0,0
1939,6,2
1940,7,3
1941,6,3
1942,0,0
1943,8,4
1944,0,0
1945,0,0
1946,7,4
1947,6,4
1948,8,5
1949,0,0
1950,18,12
1951,0,0
1952,11,8
1953,6,4
1954,7,5
1955,11,8
1956,10,8
1957,13,10
1958,13,10
1959,12,10
1960,16,13
1961,21,17
1962,19,16
1963,21,18
1964,23,20
1965,18,15
1966,19,16
1967,17,15
1968,20,18
1969,18,16
1970,10,9
1971,21,19
1972,13,12
1973,8,7
1974,11,10
1975,7,6
1976,16,15
1977,7,7
1978,11,10
1979,8,8
1980,6,6
1981,5,5
1982,0,0
1983,11,10
1984,8,8
1985,17,16
1986,20,19
1987,14,13
1988,16,15
1989,10,10
1990,15,15
1991,15,15
1992,5,5
1993,7,7
1994,15,15
1995,8,8
1996,12,12
1997,13,13
1998,7,7
1999,10,10
2000,12,12
2001,14,14
2002,7,7
2003,12,12
2004,12,12
2005,8,8
2006,10,10
2007,5,5
2008,9,9
2009,18,18
2010,15,15
2011,10,10
2012,7,7
2013,6,6
2014,9,9
2015,10,10
2016,8,8
2017,9,9
2018,0,0
2019,6,6
2020,6,6
