YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,8,6
1948,8,6
1949,5,4
1950,5,4
1951,0,0
1952,0,0
1953,10,8
1954,10,8
1955,11,9
1956,12,10
1957,18,15
1958,15,13
1959,27,23
1960,47,40
1961,49,42
1962,47,41
1963,38,33
1964,40,35
1965,40,36
1966,51,46
1967,48,43
1968,57,52
1969,98,90
1970,113,104
1971,115,106
1972,164,152
1973,143,133
1974,155,145
1975,199,187
1976,220,207
1977,286,271
1978,211,200
1979,206,196
1980,157,150
1981,131,126
1982,153,147
1983,162,156
1984,151,146
1985,175,169
1986,203,197
1987,207,201
1988,199,193
1989,246,240
1990,231,225
1991,200,195
1992,208,204
1993,197,193
1994,169,166
1995,148,145
1996,116,114
1997,105,103
1998,90,89
1999,83,82
2000,87,86
2001,71,70
2002,75,74
2003,83,82
2004,66,65
2005,69,68
2006,61,60
2007,60,60
2008,47,47
2009,42,42
2010,35,35
2011,41,41
2012,28,28
2013,31,31
