YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,9,0
1916,8,0
1917,7,0
1918,8,0
1919,0,0
1920,9,0
1921,5,0
1922,5,0
1923,13,1
1924,7,1
1925,0,0
1926,8,1
1927,10,2
1928,9,2
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,6,5
1957,0,0
1958,7,6
1959,8,7
1960,5,5
1961,5,5
1962,9,8
1963,10,9
1964,6,6
1965,8,7
1966,0,0
1967,0,0
1968,0,0
1969,11,10
1970,12,11
1971,13,12
1972,0,0
1973,6,6
1974,9,9
1975,15,14
1976,9,9
1977,14,13
1978,11,11
1979,20,19
1980,19,18
1981,28,27
1982,12,12
1983,18,18
1984,10,10
1985,14,14
1986,10,10
1987,13,13
1988,15,15
1989,22,22
1990,23,23
1991,18,18
1992,20,20
1993,28,28
1994,26,26
1995,51,50
1996,36,36
1997,48,47
1998,88,87
1999,113,112
2000,128,127
2001,166,164
2002,195,193
2003,227,225
2004,225,223
2005,283,281
2006,363,360
2007,396,393
2008,420,417
2009,543,539
2010,632,628
2011,624,621
2012,632,629
2013,664,661
2014,685,683
2015,381,380
2016,348,347
2017,266,266
