YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,7,0
1916,0,0
1917,7,0
1918,8,0
1919,12,0
1920,10,0
1921,0,0
1922,14,1
1923,7,1
1924,9,1
1925,11,2
1926,10,2
1927,13,3
1928,12,3
1929,14,4
1930,7,2
1931,7,2
1932,16,6
1933,10,4
1934,21,9
1935,13,6
1936,23,11
1937,13,7
1938,20,11
1939,14,8
1940,23,14
1941,21,13
1942,17,11
1943,23,15
1944,16,11
1945,20,14
1946,10,7
1947,16,12
1948,15,12
1949,19,15
1950,23,19
1951,27,22
1952,16,13
1953,11,9
1954,7,6
1955,13,11
1956,9,8
1957,7,6
1958,10,9
1959,5,4
1960,6,5
1961,12,11
1962,9,8
1963,0,0
1964,7,6
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,5,5
1974,7,7
1975,0,0
1976,6,6
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,5,5
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,10,10
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
