YOB,Born,Alive
1900,6,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,6,0
1906,0,0
1907,7,0
1908,7,0
1909,7,0
1910,5,0
1911,0,0
1912,6,0
1913,18,0
1914,9,0
1915,12,0
1916,14,1
1917,23,1
1918,18,1
1919,15,1
1920,8,1
1921,7,1
1922,12,2
1923,18,3
1924,9,2
1925,10,2
1926,19,5
1927,16,5
1928,17,5
1929,17,6
1930,12,5
1931,6,2
1932,15,7
1933,6,3
1934,0,0
1935,9,5
1936,10,6
1937,7,4
1938,12,7
1939,7,5
1940,0,0
1941,10,7
1942,9,6
1943,12,9
1944,12,9
1945,10,8
1946,8,6
1947,12,10
1948,10,8
1949,6,5
1950,9,8
1951,7,6
1952,8,7
1953,12,10
1954,7,6
1955,0,0
1956,19,17
1957,14,13
1958,16,14
1959,9,8
1960,9,8
1961,12,11
1962,11,10
1963,18,17
1964,8,7
1965,12,11
1966,14,13
1967,13,12
1968,13,12
1969,18,17
1970,15,14
1971,12,11
1972,16,15
1973,19,18
1974,16,15
1975,25,24
1976,24,23
1977,22,21
1978,19,18
1979,28,27
1980,25,24
1981,32,31
1982,28,27
1983,27,26
1984,21,21
1985,18,18
1986,25,25
1987,27,27
1988,25,25
1989,19,19
1990,26,26
1991,26,26
1992,15,15
1993,11,11
1994,15,15
1995,10,10
1996,9,9
1997,10,10
1998,6,6
1999,8,8
2000,0,0
2001,0,0
2002,5,5
2003,0,0
2004,0,0
2005,0,0
2006,5,5
