YOB,Born,Alive
1900,22,0
1901,22,0
1902,14,0
1903,19,0
1904,16,0
1905,14,0
1906,20,0
1907,22,0
1908,16,0
1909,22,0
1910,26,0
1911,16,0
1912,35,0
1913,41,0
1914,47,1
1915,33,0
1916,52,1
1917,66,1
1918,58,1
1919,46,1
1920,46,1
1921,79,4
1922,61,5
1923,38,4
1924,37,5
1925,41,6
1926,49,9
1927,36,8
1928,45,11
1929,24,6
1930,31,9
1931,24,8
1932,27,9
1933,22,8
1934,24,10
1935,25,11
1936,18,9
1937,22,11
1938,9,5
1939,22,13
1940,24,15
1941,10,6
1942,13,8
1943,17,11
1944,9,6
1945,13,9
1946,11,8
1947,12,9
1948,15,12
1949,11,9
1950,10,8
1951,8,7
1952,9,7
1953,11,9
1954,9,8
1955,6,5
1956,7,6
1957,11,10
1958,5,4
1959,0,0
1960,0,0
1961,0,0
1962,5,5
1963,0,0
1964,5,5
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,6,6
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,5,5
1981,6,6
1982,6,6
1983,15,15
1984,14,14
1985,10,10
1986,8,8
1987,0,0
1988,8,8
1989,0,0
1990,0,0
1991,0,0
1992,10,10
1993,5,5
1994,0,0
1995,0,0
1996,6,6
1997,5,5
1998,13,13
1999,8,8
2000,11,11
2001,9,9
2002,10,10
2003,10,10
2004,16,16
2005,11,11
2006,21,21
2007,14,14
2008,15,15
2009,16,16
2010,12,12
2011,25,25
2012,18,18
2013,24,24
2014,29,29
2015,28,28
2016,27,27
2017,37,37
