YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,9,0
1916,0,0
1917,0,0
1918,5,0
1919,9,0
1920,9,0
1921,6,0
1922,10,0
1923,0,0
1924,0,0
1925,5,0
1926,7,1
1927,8,1
1928,8,1
1929,11,2
1930,11,2
1931,8,2
1932,10,2
1933,10,3
1934,16,5
1935,9,3
1936,12,4
1937,9,3
1938,10,4
1939,10,4
1940,9,4
1941,7,3
1942,6,3
1943,10,5
1944,8,5
1945,0,0
1946,5,3
1947,10,6
1948,5,3
1949,0,0
1950,6,4
1951,0,0
1952,0,0
1953,6,5
1954,0,0
1955,0,0
1956,6,5
1957,5,4
1958,5,4
1959,7,6
1960,0,0
1961,0,0
1962,8,7
1963,6,5
1964,9,8
1965,8,7
1966,0,0
1967,9,8
1968,14,13
1969,7,6
1970,12,11
1971,12,11
1972,9,8
1973,15,14
1974,19,18
1975,12,11
1976,30,28
1977,31,29
1978,31,29
1979,31,29
1980,44,42
1981,32,31
1982,47,45
1983,42,40
1984,45,43
1985,46,44
1986,40,39
1987,49,47
1988,43,42
1989,50,49
1990,28,27
1991,22,21
1992,13,13
1993,16,16
1994,18,18
1995,8,8
1996,10,10
1997,8,8
1998,13,13
1999,14,14
2000,11,11
2001,7,7
2002,5,5
2003,5,5
2004,24,24
2005,10,10
2006,8,8
2007,5,5
2008,7,7
2009,0,0
2010,5,5
2011,0,0
2012,0,0
2013,0,0
2014,7,7
2015,0,0
2016,0,0
2017,0,0
