YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,7,1
1926,0,0
1927,7,1
1928,6,1
1929,6,1
1930,0,0
1931,15,3
1932,15,4
1933,16,5
1934,22,7
1935,21,8
1936,21,8
1937,15,7
1938,21,10
1939,26,13
1940,22,12
1941,23,13
1942,17,10
1943,26,16
1944,21,13
1945,26,17
1946,39,27
1947,55,39
1948,37,27
1949,39,29
1950,61,47
1951,45,35
1952,56,45
1953,54,44
1954,54,44
1955,38,32
1956,35,30
1957,50,43
1958,39,34
1959,28,25
1960,33,29
1961,67,60
1962,43,39
1963,27,24
1964,40,36
1965,19,17
1966,13,12
1967,20,18
1968,8,7
1969,12,11
1970,10,9
1971,13,12
1972,11,10
1973,29,28
1974,0,0
1975,10,10
1976,5,5
1977,7,7
1978,10,10
1979,0,0
1980,7,7
1981,0,0
1982,6,6
1983,5,5
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
