YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,5,3
1940,0,0
1941,16,11
1942,17,12
1943,16,12
1944,17,13
1945,17,13
1946,23,18
1947,17,14
1948,10,8
1949,15,12
1950,10,8
1951,11,9
1952,10,9
1953,6,5
1954,6,5
1955,0,0
1956,8,7
1957,5,4
1958,8,7
1959,9,8
1960,19,17
1961,7,6
1962,7,6
1963,9,8
1964,9,8
1965,6,6
1966,0,0
1967,6,6
1968,0,0
1969,0,0
1970,5,5
1971,0,0
1972,5,5
1973,0,0
1974,7,7
1975,0,0
1976,5,5
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,6,6
1993,0,0
1994,0,0
1995,0,0
1996,6,6
1997,0,0
1998,6,6
1999,6,6
