YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,5,1
1926,5,1
1927,8,2
1928,5,1
1929,10,3
1930,9,3
1931,10,3
1932,8,3
1933,10,4
1934,15,6
1935,7,3
1936,11,5
1937,7,4
1938,17,9
1939,14,8
1940,22,13
1941,22,14
1942,23,15
1943,17,11
1944,28,19
1945,14,10
1946,37,27
1947,40,30
1948,41,32
1949,37,29
1950,32,26
1951,35,29
1952,38,32
1953,34,29
1954,36,31
1955,43,37
1956,36,31
1957,42,37
1958,56,50
1959,53,47
1960,44,40
1961,46,42
1962,50,46
1963,48,44
1964,43,40
1965,36,33
1966,37,34
1967,25,23
1968,31,29
1969,31,29
1970,28,27
1971,27,26
1972,22,21
1973,27,26
1974,27,26
1975,26,25
1976,20,19
1977,22,21
1978,21,20
1979,18,17
1980,23,22
1981,23,22
1982,17,17
1983,13,13
1984,12,12
1985,19,19
1986,8,8
1987,9,9
1988,8,8
1989,0,0
1990,10,10
1991,9,9
1992,8,8
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,7,7
1998,8,8
1999,6,6
2000,7,7
2001,5,5
2002,0,0
2003,6,6
2004,8,8
2005,6,6
2006,5,5
2007,7,7
2008,0,0
2009,0,0
2010,0,0
2011,5,5
2012,0,0
2013,0,0
2014,7,7
2015,0,0
2016,0,0
2017,5,5
