YOB,Born,Alive
1900,9,0
1901,10,0
1902,10,0
1903,0,0
1904,7,0
1905,6,0
1906,10,0
1907,7,0
1908,0,0
1909,14,0
1910,8,0
1911,10,0
1912,10,0
1913,10,0
1914,21,0
1915,19,0
1916,15,0
1917,21,0
1918,27,0
1919,26,0
1920,24,0
1921,19,0
1922,17,0
1923,30,1
1924,26,1
1925,26,1
1926,24,1
1927,21,1
1928,19,1
1929,15,1
1930,21,2
1931,16,2
1932,18,3
1933,25,5
1934,24,5
1935,19,5
1936,18,5
1937,25,8
1938,19,6
1939,16,6
1940,15,6
1941,16,7
1942,14,6
1943,20,10
1944,24,12
1945,17,9
1946,20,11
1947,15,9
1948,27,17
1949,16,10
1950,19,13
1951,14,10
1952,16,11
1953,20,14
1954,12,9
1955,19,14
1956,14,11
1957,6,5
1958,19,15
1959,12,10
1960,9,7
1961,7,6
1962,10,8
1963,12,10
1964,11,9
1965,8,7
1966,5,4
1967,9,8
1968,11,10
1969,6,5
1970,9,8
1971,7,6
1972,5,5
1973,7,6
1974,0,0
1975,8,7
1976,6,6
1977,6,6
1978,7,7
1979,8,8
1980,7,7
1981,5,5
1982,5,5
1983,5,5
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,5,5
1991,6,6
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,5,5
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
