YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,5,0
1904,0,0
1905,6,0
1906,0,0
1907,9,0
1908,0,0
1909,0,0
1910,8,0
1911,0,0
1912,11,0
1913,10,0
1914,10,0
1915,8,0
1916,6,0
1917,10,1
1918,12,1
1919,11,1
1920,11,1
1921,9,1
1922,14,2
1923,10,2
1924,9,2
1925,10,2
1926,12,3
1927,10,3
1928,14,4
1929,11,4
1930,8,3
1931,11,5
1932,12,5
1933,6,3
1934,12,6
1935,8,4
1936,6,3
1937,15,9
1938,11,7
1939,8,5
1940,7,5
1941,9,6
1942,10,7
1943,6,4
1944,6,4
1945,7,5
1946,9,7
1947,18,14
1948,12,10
1949,5,4
1950,5,4
1951,15,13
1952,15,13
1953,11,10
1954,10,9
1955,9,8
1956,9,8
1957,7,6
1958,7,6
1959,9,8
1960,10,9
1961,10,9
1962,0,0
1963,0,0
1964,6,6
1965,0,0
1966,0,0
1967,5,5
1968,0,0
1969,0,0
1970,0,0
1971,5,5
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,5,5
1984,0,0
1985,0,0
1986,5,5
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,5,5
